Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_d8e536d4		Das Kind war vermutlich zu Hause, hat den Mord nicht mitbekommen, fand später seine eigene Mutter tot auf und rief die Polizei.	game/Story/ch0.rpy	92	"[what]"
start_922069f4		Die Küche, in der die Tote gefunden wurde, sah aus wie ein großes Schlachthaus.	game/Story/ch0.rpy	95	"[what]"
start_ab30e38d		Als die Beamten die Leiche fanden, fiel ihnen auf, dass es so aussah, als hätte sich die Frau mit einem Strick umgebracht.	game/Story/ch0.rpy	96	"[what]"
start_c05cf642		Ihre Hände und Füße waren abgetrennt.	game/Story/ch0.rpy	97	"[what]"
start_5080c620	extend	 Laut Obduktionsbericht wurde dazu eine Machete benutzt.	game/Story/ch0.rpy	98	extend "[what]"
start_a74a96de		Dem Bericht zufolge war das Blut an Händen und Füßen schon etwas älter, da die Spuren am Hals deutlich frischer waren,	game/Story/ch0.rpy	99	"[what]"
start_0f2fbf97	extend	 was bedeuten könnte, dass ihr bei lebendigem Leib die Gliedmaßen abgehackt wurden und sie Höllenqualen litt.	game/Story/ch0.rpy	100	extend "[what]"
start_af958953		Außerdem gab es Kampfspuren im Raum. Die Frau hat den Täter wahrscheinlich gesehen und sich gewehrt haben.	game/Story/ch0.rpy	101	"[what]"
start_ca44c198	extend	 Sie muss aber vorher an dem Schock und dem immensen Blutverlust gestorben sein.	game/Story/ch0.rpy	102	extend "[what]"
start_7552d4ac		Erst danach habe der Täter ihr den Strick umgelegt, so der Obduktionsbericht.	game/Story/ch0.rpy	103	"[what]"
start_20bb713a	extend	 Im weiteren Bericht heißt es, dass das Opfer zuvor hochprozentige alkoholische Getränke konsumiert hatte und während der Tat unter starkem Alkoholeinfluss stand.	game/Story/ch0.rpy	104	extend "[what]"
start_336b0058		Außerdem wurden in Blutproben geringe Spuren von Tetrahydrocannabinol, MDMA und anderen Betäubungsmitteln gefunden, die auf einen aktiven Drogenmissbrauch hindeuten.	game/Story/ch0.rpy	105	"[what]"
start_e0353108		Der Täter befindet sich nach wie vor auf freiem Fuß und es gibt keine Spuren oder Hinweise auf die Identität des Täters.	game/Story/ch0.rpy	106	"[what]"
start_af1fc4af	extend	 Bei einer Hausdurchsuchung wurden keine versteckten Abschiedsbriefe oder ähnliches gefunden.	game/Story/ch0.rpy	107	extend "[what]"
start_365fe98f		Was mir an der ganzen Sache überhaupt nicht gefällt, ist, dass das Haus komplett verriegelt war.	game/Story/ch0.rpy	108	"[what]"
start_34ee328f	extend	 Alle Fenster waren von innen verriegelt und die Haustür war mit einem Kettenschloss von innen verschlossen.	game/Story/ch0.rpy	109	extend "[what]"
start_194a7126	extend	 Meine Kollegen mussten diese Tür aufbrechen.	game/Story/ch0.rpy	110	extend "[what]"
start_4a0171d2		Gut,	game/Story/ch0.rpy	111	"[what]"
start_eb581518	extend	 nur die einzigen Schlüssel,	game/Story/ch0.rpy	112	extend "[what]"
start_9cb03ff5	extend	 einer für die Mutter,	game/Story/ch0.rpy	113	extend "[what]"
start_e3ffde87	extend	 zwei für die Kinder,	game/Story/ch0.rpy	114	extend "[what]"
start_a016d0fc	extend	 die diese Haustür öffnen und schließen können, wurden in der Küche bei der Leiche gefunden.	game/Story/ch0.rpy	115	extend "[what]"
start_367768d4		Also alle drei möglichen Schlüssel für das Haus wurden in der Küche gefunden.	game/Story/ch0.rpy	116	"[what]"
start_cbe669b4		Da brennen mir natürlich einige Fragen auf der Zunge,	game/Story/ch0.rpy	117	"[what]"
start_659876e3	extend	 auch weil das überlebende Kind auch in diesem Raum war, es aber keine Spuren an ihm gab.	game/Story/ch0.rpy	118	extend "[what]"
start_d10d2eec		Wie konnte der Täter in die Wohnung eindringen,	game/Story/ch0.rpy	119	"[what]"
start_ef2c1fc8	extend	 ein grausames Blutbad anrichten und aus dem vollständig verriegelten Haus entkommen,	game/Story/ch0.rpy	120	extend "[what]"
start_2bd0d9dd	extend	 ohne auch nur die geringste Spur zu hinterlassen?	game/Story/ch0.rpy	121	extend "[what]"
start_15706ea6		Eine Analyse der Schlüssel ergab,	game/Story/ch0.rpy	122	"[what]"
start_8f193fa1	extend	 dass nur Mutter und Kinder selbst ihre Schlüssel angefasst haben.	game/Story/ch0.rpy	123	extend "[what]"
start_914989f0		Die weitere Hausdurchsuchung ergab,	game/Story/ch0.rpy	124	"[what]"
start_f9dbc5b0	extend	 dass die einzigen möglichen Wege aus dem Haus nur durch die Fenster und die Eingangstür führten.	game/Story/ch0.rpy	125	extend "[what]"
start_32b2e3b7		Es gab keine Geheimwege oder Schlupflöcher.	game/Story/ch0.rpy	126	"[what]"
start_bc6a1bcc	extend	 Es wurden auch keine potentiellen Täter im und um das Haus herum gefunden,	game/Story/ch0.rpy	127	extend "[what]"
start_3763c284	extend	 was die Aufklärung des Falles um einiges schwieriger machte als zunächst angenommen.	game/Story/ch0.rpy	128	extend "[what]"
start_3e199079		Jedenfalls ist dieser Mörder ein absolutes Genie.	game/Story/ch0.rpy	130	"[what]"
start_bc19fb9d	extend	 Detektive aus der ganzen Welt haben sich des Falles angenommen,	game/Story/ch0.rpy	131	extend "[what]"
start_e37a6bd9	extend	 doch niemand konnte sich erklären, wie dieser Mord begangen worden ist.	game/Story/ch0.rpy	132	extend "[what]"
start_4fad5e98		Für die Dorfbewohner ist das so, als ob hier Teufel oder Hexen am Werk gewesen sind,	game/Story/ch0.rpy	133	"[what]"
start_b614014f	extend	 was die Suche nach Zeugen ebenfalls sehr schwierig macht.	game/Story/ch0.rpy	134	extend "[what]"
start_10c79ec3		Mehr konnten meine Kollegen und ich bisher nicht herausfinden, so dass wir leider immer noch im Dunkeln tappen.	game/Story/ch0.rpy	135	"[what]"
chapter1_a46500a0		In der Luft liegt der typische Meeresgeruch von Salz und auch ein wenig von Algen.	game/Story/ch1.rpy	20	"[what]"
chapter1_470cc1c6	extend	 Ein Duft, der den Geruchssinn sofort in Ekstase versetzt, wenn nicht sogar die Seele selbst begeistert.	game/Story/ch1.rpy	21	extend "[what]"
chapter1_8766283b		Denn auch ein taubstummer und sehbehinderter Mensch weiß sofort, dass das Meer in der Nähe ist, und kommt so in die richtige Stimmung.	game/Story/ch1.rpy	22	"[what]"
chapter1_1bd1b35f		Die Familie Ushiromiya ist mit dem Boot von der Insel Niijima zur jährlichen Familienkonferenz auf der Insel Rokkenjima unterwegs.	game/Story/ch1.rpy	23	"[what]"
chapter1_d5eabce5	extend	 Aber ein Familienmitglied scheint die Fahrt gar nicht gut zu tun, er schreit herum, dass er vom Boot fällt und so.	game/Story/ch1.rpy	24	extend "[what]"
chapter1_a46ba8fb	but	whaoooo!!!!	game/Story/ch1.rpy	27	but "[what]"
chapter1_6a629db6	extend	 ....Ich falle runter, ....ich falle runteeeeeer!!!	game/Story/ch1.rpy	28	extend "[what]"
chapter1_1d41c5b7	extend	 ....Ich hasse Boote! ...Gleich muss ich kotzen, ich falleeeee!!!	game/Story/ch1.rpy	29	extend "[what]"
chapter1_62a786ee	extend	 ...Warum muss das verfluchte Ding auch so stark schaukeln?	game/Story/ch1.rpy	30	extend "[what]"
chapter1_47b4b96a	but	....Das wars!	game/Story/ch1.rpy	31	but "[what]"
chapter1_3aedbb8b	extend	 ....Ich werde diese Insel nicht mehr erreichen, eher sterbe ich hier!	game/Story/ch1.rpy	32	extend "[what]"
chapter1_8c60b5a5	mar	*kicher*kicher*	game/Story/ch1.rpy	38	mar "[what]"
chapter1_fd1b013d	extend	 ....Battler fällt runter, Battler fällt runter!	game/Story/ch1.rpy	39	extend "[what]"
chapter1_d61ffd61	extend	 uu-uu~!!	game/Story/ch1.rpy	40	extend "[what]"
chapter1_79e27fb3	but	...Bitte	game/Story/ch1.rpy	41	but b23nayamu1 "[what]"
chapter1_b0c6a49d	extend	 ...Maria-chan,	game/Story/ch1.rpy	42	extend "[what]"
chapter1_d42a25cd	extend	 ...bitte etwas ruhiger,	game/Story/ch1.rpy	43	extend "[what]"
chapter1_0cb1e1d0	extend	 ...das macht alles mein Magen nicht mit.	game/Story/ch1.rpy	44	extend "[what]"
chapter1_7417f28d	mar	Uu~?	game/Story/ch1.rpy	45	mar a11uuu1 "[what]"
chapter1_6bee4084	extend	 ....du findest das nicht lustig?	game/Story/ch1.rpy	46	extend "[what]"
chapter1_f778b04c	extend	 .....Ich finde das super lustig!	game/Story/ch1.rpy	48	extend a11warai1 "[what]"
chapter1_e0d16287	extend	 *kicher*kicher*	game/Story/ch1.rpy	49	extend "[what]"
chapter1_096fc57b	extend	 uu~!	game/Story/ch1.rpy	50	extend "[what]"
chapter1_4e3db8ff		Mein Name ist Ushiromiya Battler.	game/Story/ch1.rpy	61	"[what]"
chapter1_e59743bb	extend	 Ich bin der Sohn von Rudolf und Asumu, Asumu ist vor ungefähr sechs Jahren gestorben.	game/Story/ch1.rpy	62	extend "[what]"
chapter1_ca3b9590		Danach habe ich die Familie wegen eines Konflikts mit Dad für sechs lange Jahre verlassen und habe bei meinen Großeltern mütterlicherseits gelebt.	game/Story/ch1.rpy	63	"[what]"
chapter1_eb018771		Mein Name wird im Japanischen übrigens so geschrieben: Ushiromiya Batora.	game/Story/ch1.rpy	64	"[what]"
chapter1_f34a3e3f	extend	 Ja, man spricht mich nicht Battler aus, sondern 'Batora', klingt echt komisch.	game/Story/ch1.rpy	65	extend "[what]"
chapter1_164cf5c2		Meine Japanischen Schriftzeichen machen mich wütend. Ich werde mit den Zeichen von 'Person' und 'Kampf' geschrieben.	game/Story/ch1.rpy	66	"[what]"
chapter1_74acc526	extend	 Deswegen denkt ein typischer Japaner ich heiße Sento-kun. Niemand würde auch nur im Traum daran denken, dass es 'Battler' ausgesprochen wird.	game/Story/ch1.rpy	67	extend "[what]"
chapter1_c7c9338c		Aber der Spaß hört bei mir noch lange nicht auf...	game/Story/ch1.rpy	68	"[what]"
chapter1_2a0c1f10	extend	 Hier sind einige, die ihren Namensgeber am liebsten in dunkle Kammern sperren würden.	game/Story/ch1.rpy	69	extend "[what]"
chapter1_0192985d		Wenn es etwas gibt, dass ich an den Familienkonferenzen hasse, dann ist es die Anfahrt.	game/Story/ch1.rpy	71	"[what]"
chapter1_9364deda	extend	 Jedes mal schaukelt dieses Boot so extrem, dass ich jeden Moment gefühlt über Bord gehen könnte.	game/Story/ch1.rpy	72	extend "[what]"
chapter1_eed0c0ea		Maria, die überhaupt nicht seekrank ist, beginnt laut zu kichern,	game/Story/ch1.rpy	73	"[what]"
chapter1_532ad052	extend	 weil es so lustig ist, mir zuzusehen wie ich den Anfall meines Lebens habe.	game/Story/ch1.rpy	74	extend "[what]"
chapter1_44992c74		Ich merke, wir werden beobachtet und der kann sich das Lachen echt nicht verkneifen.	game/Story/ch1.rpy	75	"[what]"
chapter1_14630eb1	rud	...Hey Battler-kun!	game/Story/ch1.rpy	79	rud "[what]"
chapter1_bd6505bb	extend	 Wenn du kotzen musst, dann bitte in einen Eimer!	game/Story/ch1.rpy	80	extend "[what]"
chapter1_29f18fde	extend	 .....Bei dem, was du dir in den Hals schaufelst, würdest du eine Menge Fische auf dem Gewissen haben.	game/Story/ch1.rpy	81	extend "[what]"
chapter1_2030a53b	extend	 ....hehe.	game/Story/ch1.rpy	82	extend "[what]"
chapter1_63034164	rud	....Unglaublich, dass du schon im Flugzeug so durchgedreht bist,	game/Story/ch1.rpy	83	rud "[what]"
chapter1_931e3f14	extend	 du konntest ja nicht mal im Auto still sitzen.	game/Story/ch1.rpy	84	extend "[what]"
chapter1_215e4907	but	...........	game/Story/ch1.rpy	87	but "[what]"
chapter1_9007c8d9	extend	 ...Lass mich in Ruhe!	game/Story/ch1.rpy	88	extend b22odoroki2 "[what]"
chapter1_34d3595a	extend	 ....Das ist echt kein guter Zeitpunkt!	game/Story/ch1.rpy	89	extend "[what]"
chapter1_0ca35816	rud	Es ist nie ein guter Zeitpunkt, wenn du mit irgendetwas fahren musst.	game/Story/ch1.rpy	90	rud a11defo1 "[what]"
chapter1_685a5825	extend	 .....Wag es nicht, ins Meer zu kotzen!	game/Story/ch1.rpy	91	extend "[what]"
chapter1_540418f6	but	...Ich gebe mir hier die größte Mühe.	game/Story/ch1.rpy	92	but b22nayamu2 "[what]"
chapter1_4039d5f8		Das ist mein Vater Rudolf. Der alte Bastard ist so groß wie ich und macht sich bei Gelegenheit gerne über mich lustig.	game/Story/ch1.rpy	100	"[what]"
chapter1_3db94e08	extend	 Sein Name wird auf Japanisch Ushiromiya Rudorfu ausgesprochen, fast die ganze Familie hat diese seltsame Namenstradition.	game/Story/ch1.rpy	101	extend "[what]"
chapter1_ff1f1b73		Seit meine Mutter Asumu verstorben ist, hat sich unser Verhältnis sehr verschlechtert,	game/Story/ch1.rpy	102	"[what]"
chapter1_8d69ff04	extend	 aber ich bin sicher, dass es mit der Zeit wieder funktionieren kann.	game/Story/ch1.rpy	103	extend "[what]"
chapter1_1858efe4		Vor sechs Jahren, kurz nach dem Tod meiner Mutter, hat mein Vater seine Arbeitskollegin geheiratet.	game/Story/ch1.rpy	107	"[what]"
chapter1_a3084cd6	extend	 Das hat mich gebrochen, weil es einfach viel zu schnell ging, kaum war meine Mutter gestorben, hat er wieder geheiratet.	game/Story/ch1.rpy	108	extend "[what]"
chapter1_a8b48524		Das nächste Problem war, dass Dad schon eine Affäre mit ihr gehabt hatte.	game/Story/ch1.rpy	109	"[what]"
chapter1_a57ed9e2	extend	 Beide haben ein Kind meine Stiefschwester Ange, die heute leider Krank ist und Zuhause geblieben ist.	game/Story/ch1.rpy	110	extend "[what]"
chapter1_2f45066f		Wenn man sich ausrechnet, wann Ange geboren wurde und wann meine Mutter verstorben ist, wird mir immer ganz übel.	game/Story/ch1.rpy	111	"[what]"
chapter1_cc56296a	extend	 Da ich mit solchen Leuten nicht in einem Haushalt leben wollte, bin ich zu meinen Großeltern mütterlicherseits gezogen und habe die Ushiromiya-Familie verlassen.	game/Story/ch1.rpy	112	extend "[what]"
chapter1_5aa5fe4e		Leider sind meine Großeltern vor kurzem verstorben und ich hatte die Gelegenheit, mit meinem Vater und meiner Stiefmutter zu sprechen, und wir konnten irgendwie einen gemeinsamen Nenner finden.	game/Story/ch1.rpy	113	"[what]"
chapter1_e8650610		Ich bin also wieder Teil der Familie und nehme nach sechs Jahren zum ersten Mal wieder an der Konferenz teil.	game/Story/ch1.rpy	114	"[what]"
chapter1_3ccc86d1	kir	...Ist es nicht schön, dass Battler-kun wieder da ist?	game/Story/ch1.rpy	119	kir "[what]"
chapter1_4450ee61	extend	 Ich meine, nach 6 Jahren Abwesenheit immer noch ein Theater bei der Ankunft? *kicher*	game/Story/ch1.rpy	120	extend "[what]"
chapter1_34ef4f7e	rud	....Ja	game/Story/ch1.rpy	122	rud "[what]"
chapter1_158c76f3	extend	 ....Aber das war viel schlimmer, als er noch jünger war,	game/Story/ch1.rpy	123	extend "[what]"
chapter1_7b09e3e6	extend	 ...da hatte man die ganze Anreise keine Ruhe.	game/Story/ch1.rpy	124	extend "[what]"
chapter1_4db4c515	kir	...Aber er ist selbst schuld, wenn er da rumturnt, obwohl er weiß, dass er seekrank wird.	game/Story/ch1.rpy	125	kir a11majime1 "[what]"
chapter1_d3dad510		Das ist meine Stiefmutter Kyrie-san, der alte Bastard hat diese Frau kurz nach dem Tod meiner Mutter geheiratet.	game/Story/ch1.rpy	133	"[what]"
chapter1_2f06f965		Sie ist sehr intelligent und hat mir viel über das Schachbrettdenken beigebracht.	game/Story/ch1.rpy	134	"[what]"
chapter1_0b3aa8d1	extend	 Also wie man eine Partie mit den Augen des Gegners sehen kann.	game/Story/ch1.rpy	135	extend "[what]"
chapter1_184b18b5		Ich sehe sie nicht als Mutter, aber wir verstehen uns gut.	game/Story/ch1.rpy	136	"[what]"
chapter1_834bb0b3	extend	 Sie ist für mich eher so etwas wie eine freundliche Nachbarin, denn wir sind uns einig, dass wir nicht so tun sollten, als hätten wir eine enge Beziehung, die uns sehr schnell unangenehm werden könnte.	game/Story/ch1.rpy	137	extend "[what]"
chapter1_668fa3ce		Also halten wir einfach einen gesunden Abstand, damit wir uns nicht unwohl fühlen.	game/Story/ch1.rpy	138	"[what]"
chapter1_df81c240		Wollt ihr wissen, wie man sie auf Japanisch ausspricht?	game/Story/ch1.rpy	139	"[what]"
chapter1_6440f8fe	extend	 Ganz einfach:	game/Story/ch1.rpy	140	extend "[what]"
chapter1_ea4f99e6	extend	 Ushiromiya Kyrie.	game/Story/ch1.rpy	141	extend "[what]"
chapter1_623c3a72		Und nein, ....	game/Story/ch1.rpy	142	"[what]"
chapter1_4c28f047	extend	 man spricht es nicht komisch aus, ihr Name ist absolut perfekt!	game/Story/ch1.rpy	143	extend "[what]"
chapter1_5a83d5cb		Ich hasse Großvater den alten Kauz dafür, dass wir so komische Namen haben.	game/Story/ch1.rpy	144	"[what]"
chapter1_6d54791b	but	...........Ich finde das gar nicht lustig	game/Story/ch1.rpy	149	but "[what]"
chapter1_8eb3f892	extend	 .......Ich kämpfe hier schließlich um	game/Story/ch1.rpy	150	extend "[what]"
chapter1_26b1d37f	extend	 ............mein	game/Story/ch1.rpy	151	extend "[what]"
chapter1_5a1faddb	extend	 ............Leben	game/Story/ch1.rpy	152	extend "[what]"
chapter1_5c4bd645	extend	 ...................*würg*	game/Story/ch1.rpy	153	extend "[what]"
chapter1_96ff89d7		Battler wurde so übel, dass er sich nicht zurückhalten konnte und den ganzen gekochten Reis vom Vormittag ins Wasser schleuderte.	game/Story/ch1.rpy	157	"[what]"
chapter1_195420e8	rud	.....Jetzt hat dieser Kasper tatsächlich die Fische gefüttert, ach herrje,	game/Story/ch1.rpy	159	rud "[what]"
chapter1_e0d75c4f	extend	 ....ahahaha!	game/Story/ch1.rpy	160	extend "[what]"
chapter1_d063ece0	mar	uu-uu~!	game/Story/ch1.rpy	163	mar "[what]"
chapter1_3bce719c	extend	 Battler hat sich übergeben!	game/Story/ch1.rpy	164	extend "[what]"
chapter1_3bce719c_1	extend	 Battler hat sich übergeben!	game/Story/ch1.rpy	165	extend "[what]"
chapter1_e0d16287_1	extend	 *kicher*kicher*	game/Story/ch1.rpy	166	extend "[what]"
chapter1_2c2398b3		Das kleine Mädchen, das definitiv mehr Spaß daran hat, mir zuzusehen, als mit dem Boot zu fahren,	game/Story/ch1.rpy	174	"[what]"
chapter1_b620f864	extend	 ist meine jüngste Cousine Maria,	game/Story/ch1.rpy	175	extend "[what]"
chapter1_710b0561		Auch sie hat unsere Namenstradition übernommen,	game/Story/ch1.rpy	176	"[what]"
chapter1_9272bea0	extend	 statt eines normalen japanischen Namens heißt sie Ushiromiya Maria.	game/Story/ch1.rpy	177	extend "[what]"
chapter1_c56f922a	extend	 Das wird auch so ausgesprochen, nur in kurzen Silben.	game/Story/ch1.rpy	178	extend "[what]"
chapter1_7973dafc		Das letzte mal als ich sie gesehen habe, war sie wie alt?	game/Story/ch1.rpy	179	"[what]"
chapter1_03eb9a94	extend	 drei Jahre?	game/Story/ch1.rpy	180	extend "[what]"
chapter1_477e8dc6	extend	 Das bedeutet sie müsste heute neun Jahre alt sein und geht zur Grundschule.	game/Story/ch1.rpy	181	extend "[what]"
chapter1_c498186f		Am Flughafen war sie überwältigt, als sie erfuhr, dass ich ein Cousin von ihr bin. In jungen Jahren behält man nur wenige Erinnerungen.	game/Story/ch1.rpy	182	"[what]"
chapter1_5fce6aa2		Aber wir haben uns super schnell angefreundet und haben eine tolle Zeit.	game/Story/ch1.rpy	183	"[what]"
chapter1_11864f51	ros	Maria!	game/Story/ch1.rpy	187	ros "[what]"
chapter1_97a8834b	extend	 ....Es reicht jetzt,	game/Story/ch1.rpy	188	extend "[what]"
chapter1_d4a7c73d	extend	 .....lass Battler-kun in Ruhe!	game/Story/ch1.rpy	189	extend "[what]"
chapter1_7e55dbfa	mar	....uu~	game/Story/ch1.rpy	191	mar "[what]"
chapter1_592d6d41	ros	...und hör auf mit diesem 'uu-uu'!	game/Story/ch1.rpy	192	ros a11ikari2 "[what]"
chapter1_93a5fb03	extend	 .....Du bist kein kleines Kind mehr!	game/Story/ch1.rpy	193	extend "[what]"
chapter1_da580602		Maria war nicht begeistert, dass ihre Mama ihre Freude unterbrach.	game/Story/ch1.rpy	194	"[what]"
chapter1_5670e6d8	extend	 Rosa ist eine sehr strenge Mutter.	game/Story/ch1.rpy	195	extend "[what]"
chapter1_f7c36238	extend	 Sie nimmt Marias eher kindliches Verhalten sehr ernst,	game/Story/ch1.rpy	196	extend "[what]"
chapter1_8c717d7f	extend	 was schon zu unangenehm anzusehenden Szenen mit den beiden geführt hat.	game/Story/ch1.rpy	197	extend "[what]"
chapter1_f452df23	ros	....Tut mir leid,	game/Story/ch1.rpy	201	ros a11komaru4 "[what]"
chapter1_56cd1529	extend	 ......Battler-kun,	game/Story/ch1.rpy	202	extend "[what]"
chapter1_2a36efba	extend	 .....ich kriege es einfach nicht aus ihr raus.	game/Story/ch1.rpy	203	extend "[what]"
chapter1_248e8e13	but	Schon gut, Tante Rosa,	game/Story/ch1.rpy	204	but b22warai1 "[what]"
chapter1_a731b3f2	extend	 ....sie meint es nicht böse, also bin ich es auch nicht.	game/Story/ch1.rpy	205	extend "[what]"
chapter1_19e343aa	ros	...Dankeschön, Battler-kun, das beruhigt mich.	game/Story/ch1.rpy	206	ros a11majime1 "[what]"
chapter1_ebcb4e09	extend	 .....Nun, dass dein größter Feind das Fahrzeugfahren ist, verstehe ich nicht,	game/Story/ch1.rpy	207	extend "[what]"
chapter1_4425c0a3	extend	 .....denn du wirkst so reif und erwachsen und jetzt das?	game/Story/ch1.rpy	208	extend "[what]"
chapter1_ca1f31b4	but	....Ihihihi!	game/Story/ch1.rpy	209	but b11warai2 "[what]"
chapter1_0b3fe15c	extend	 ...Entschuldigung, dass ich einen falschen Eindruck erweckt habe.	game/Story/ch1.rpy	210	extend "[what]"
chapter1_5a4f2665		Das ist Tante Rosa,	game/Story/ch1.rpy	218	"[what]"
chapter1_5afba151	extend	 sie ist die Mutter von Maria die sie sehr streng erzieht.	game/Story/ch1.rpy	219	extend "[what]"
chapter1_afb799c0		Trotzdem kenne ich Tante Rosa als sehr liebe Person,	game/Story/ch1.rpy	220	"[what]"
chapter1_5599727b	extend	 auch wenn das Taschengeld, dass sie uns Kindern gibt, nicht so hoch ist wie bei den anderen Erwachsenen.	game/Story/ch1.rpy	221	extend "[what]"
chapter1_b1000429		Trotz ihres blöden Namens ist ihre Aussprache nur Ushiromiya Rooza,	game/Story/ch1.rpy	222	"[what]"
chapter1_38198cbd	extend	 was nur halb so schlimm ist wie der Name meines Vaters.	game/Story/ch1.rpy	223	extend "[what]"
chapter1_ce699a2a		Trotzdem ist der Name in jeder Hinsicht lächerlich.	game/Story/ch1.rpy	224	"[what]"
chapter1_9e0a5a57	extend	 Danke Großvater nochmal dafür.	game/Story/ch1.rpy	225	extend "[what]"
chapter1_13516320	rud	Er kann einfach nicht still sitzen, aus irgendeinem Grund.	game/Story/ch1.rpy	229	rud "[what]"
chapter1_f307f43f	extend	 ...Das ist wirklich peinlich, das darfst du niemandem erzählen.	game/Story/ch1.rpy	230	extend "[what]"
chapter1_d1d702d1	but	..Ey!	game/Story/ch1.rpy	232	but "[what]"
chapter1_f649427e	extend	 .....halt den Mund!	game/Story/ch1.rpy	233	extend "[what]"
chapter1_def45ac2	rud	...Ey Battler-kun!	game/Story/ch1.rpy	234	rud a11akuwarai2 "[what]"
chapter1_82f9280a	extend	 ...Das Frühstück, dass gerade im Meer gelandet ist, hat Geld gekostet und Lebensmittel werden nicht billiger!	game/Story/ch1.rpy	235	extend "[what]"
chapter1_4c457965	but	...Ähm,	game/Story/ch1.rpy	236	but b22nayamu1 "[what]"
chapter1_03345ffc	extend	 ...also wenn du es unbedingt wiederhaben willst, kannst du ja ins Meer springen und dann ganz weit den Mund aufmachen,	game/Story/ch1.rpy	237	extend b22nayamu2 "[what]"
chapter1_80bc362b	extend	 ....ihihihi!	game/Story/ch1.rpy	238	extend "[what]"
chapter1_f82e885a	rud	........Battler....	game/Story/ch1.rpy	239	rud a11defo2 "[what]"
chapter1_d5077ca5	but	....owowowowowow	game/Story/ch1.rpy	244	but "[what]"
chapter1_dd9377ee	extend	 ....Du alter Bastard!	game/Story/ch1.rpy	245	extend "[what]"
chapter1_91127127	extend	 ....Scheiße,	game/Story/ch1.rpy	246	extend "[what]"
chapter1_6fbf1af1	extend	 .....owowowow	game/Story/ch1.rpy	247	extend "[what]"
chapter1_327e5c30		Einen Moment hat Battler nicht aufgepasst und schon hat Rudolf sein Ohrläppchen gepackt und behandelt es nicht gerade zimperlich.	game/Story/ch1.rpy	248	"[what]"
chapter1_ca2d854e	but	....Owowowowowowowow,	game/Story/ch1.rpy	249	but "[what]"
